Division,District/City,Latitude,Longitude,Total,Total Death
Dhaka,Dhaka City,23.8103,90.4125,3751,89
Dhaka,Dhaka (District),23.8105,23.8105,99,3
Dhaka,Gazipur,23.9999,90.4203,322,
Dhaka,Kishoreganj,24.4331,24.4331,200,1
Dhaka,Madaripur,23.1649,90.194,39,2
Dhaka,Manikganj,23.8644,90.0047,21,
Dhaka,Narayanganj,23.6238,90.5,923,39
Dhaka,Munshigonj,23.5422,90.5305,110,4
Dhaka,Narshingdi,23.9193,90.7176,145,1
Dhaka,Rajbari,23.7639,89.6467,17,
Dhaka,Faridpur,23.6019,89.8333,12,
Dhaka,Tangail,24.2513,89.9167,29,3
Dhaka,Shariatpur,23.2423,90.4348,30,1
Dhaka,Gopalganj,23.013,89.8224,45,
Chattogram,Chattogram,22.3569,91.7832,74,2
Chattogram,Cox’s bazar,21.4272,92.0058,23,
Chattogram,Cumilla,23.4607,91.1809,93,4
Chattogram,B. Baria,23.9675,91.1119,40,2
Chattogram,Khagrachari,23.1108,91.9906,1,
Chattogram,Laksmipur,22.9454,90.8342,35,1
Chattogram,Bandarban,22.1936,92.2187,4,
Chattogram,Noakhali,22.8246,91.1017,6,1
Chattogram,Feni,23.0159,91.3976,6,
Chattogram,Chandpur,23.2321,90.6631,14,
Sylhet,Moulovi Bazar,24.3095,91.7315,12,2
Sylhet,Sunamganj,25.0667,91.4072,28,
Sylhet,Hobiganj,24.384,91.4169,53,
Sylhet,Sylhet,24.8949,91.8687,18,2
Rangpur,Rangpur,25.7439,89.2752,31,
Rangpur,Gaibandha,25.329,89.5415,21,
Rangpur,Nilphamari,25.9363,88.8407,13,
Rangpur,Lalmonirhat,25.9923,89.2847,3,
Rangpur,Kurigram,25.8103,89.6487,7,
Rangpur,Dinajpur,25.6221,88.6438,20,
Rangpur,Panchagar,26.3354,88.5517,8,
Rangpur,Thakurgaon,26.0274,88.4646,16,
Khulna,Khulna,22.8456,89.5403,11,
Khulna,Jessore,23.1778,89.1801,63,
Khulna,Bagerhat,22.6555,89.7662,2,
Khulna,Narail,23.1163, 89.5840,13,
Khulna,Magura,23.4855,89.4198,7,
Khulna,Meherpur,23.8052,88.6724,2,1
Khulna,Satkhira,22.3155,89.1115,1,
Khulna,Jhenaidah,23.545,89.1726,19,
Khulna,Kushtia,23.9088,89.122,15,
Khulna,Chuadanga,23.6418,88.8577,9,
Mymensingh,Mymensingh,24.7471,90.4203,143,2
Mymensingh,Jamalpur,24.925,89.9463,61,3
Mymensingh,Netrokona,24.8817,90.7271,29,
Mymensingh,Sherpur,25.0194,90.0137,25,
Barishal,Barguna,22.0953,90.1121,30,1
Barishal,Bhola,22.1785,90.7101,5,
Barishal,Barishal,22.701,90.3535,40,
Barishal,Potuakhali,22.3586,90.3317,27,1
Barishal,Pirojpur,22.5841,89.972,9,
Barishal,Jhalokathi,22.5721,90.187,8,
Rajshahi,Joypurhat,25.0968,89.0227,32,1
Rajshahi,Pabna,24.0129,89.2591,10,
Rajshahi,Chapainawabganj,24.7413,88.2912,2,
Rajshahi,Bogra,24.8481,89.373,19,
Rajshahi,Natore,24.4079,88.9749,9,
Rajshahi,Naogaon,24.7936, 88.9318,15,
Rajshahi,Sirajganj,24.4526,89.6816,3,
Rajshahi,Rajshahi,24.3745,88.6042,19,2
